District;size (km²);Population -2011;Density
Donji grad (Lower town);3;37,024;12,341
Gornji Grad–Medveščak (Upper town–Medveščak);10;30,962;3,096
Trnje;7;42,282;6,04
Maksimir;14;48,902;3,493
Peščenica – Žitnjak;35;56,487;1,614
Novi Zagreb – istok (New Zagreb–East);17;59,055;3,474
Novi Zagreb – zapad (New Zagreb–West);63;58,103;922
Trešnjevka – sjever (Trešnjevka–North);6;55,425;9,238
Trešnjevka – jug (Trešnjevka–South);10;66,674;6,667
Črnomerec;24;38,546;1,606
Gornja Dubrava (Upper Dubrava);40;61,841;1,546
Donja Dubrava (Lower Dubrava);11;36,363;3,306
Stenjevec;12;51,39;4,283
Podsused – Vrapče;36;45,759;1,271
Podsljeme;60;19,165;319
Sesvete;165;70,009;424
Brezovica;127;12,03;95
Total;641;790,017;1232
